,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
72,0.043541856,0.45420754,-0.31449208,-0.549544,0.042711757,-0.6176979,0.51745445,0.77716565,0.03251197,-0.28543982,-0.5772718,-0.0047792974,-0.15267165,-0.03774073,-0.08506801,0.5607604
73,-0.16502959,0.40326172,-0.31449208,-0.5094628,-0.11861944,-0.53731567,0.45738417,0.69564867,-0.15699807,-0.28543982,-0.5238027,0.14295892,0.10171974,-0.03774073,-0.08506801,0.48530704
74,-0.10401545,0.45342886,-0.31449208,-0.56900275,-0.06859997,-0.60544187,0.51539826,0.7842867,-0.09910328,-0.28543982,-0.5821793,0.09885092,0.0251748,-0.03774073,-0.08506801,0.55147475
75,0.03523473,0.5044777,-0.31449208,-0.618968,0.040052235,-0.68039453,0.5746107,0.8696383,0.028874155,-0.28543982,-0.6387129,-0.00040096085,-0.14553326,-0.03774073,-0.08506801,0.62260354
76,-0.068737194,0.43123686,-0.31449208,-0.53428024,-0.044811603,-0.57947725,0.48919803,0.74041367,-0.068559416,-0.28543982,-0.55432814,0.07418142,-0.015542091,-0.03774073,-0.08506801,0.5243898
77,0.006089529,0.15275645,-0.2731971,-0.14546597,-0.009135795,-0.23269808,0.17158537,0.22482908,-0.021558017,-0.28543982,-0.2124723,0.0292349,-0.09005201,-0.03774073,-0.08506801,0.18133035
78,0.09377423,0.076273136,-0.17381369,-0.029216148,0.051822145,-0.14293939,0.08544236,0.07987503,0.05085054,-0.20729956,-0.11569855,-0.030004965,-0.1916176,-0.03774073,-0.08506801,0.0916215
79,0.038327232,0.15191703,-0.27351174,-0.13987683,0.015579643,-0.23478992,0.1715067,0.22239439,0.00657473,-0.28543982,-0.21026722,0.006882065,-0.12888338,-0.03774073,-0.08506801,0.18312754
80,0.2503639,0.103547536,-0.21401542,-0.04422052,0.17236543,-0.18928148,0.11814085,0.12050171,0.19240049,-0.24619867,-0.1420934,-0.14056621,-0.28269124,-0.03774073,-0.08506801,0.13455935
81,0.3745572,0.077267185,-0.18272509,0.0093396595,0.2652921,-0.16557023,0.09009693,0.06531131,0.30092198,-0.19668396,-0.104118615,-0.22659022,-0.28269124,-0.03774073,-0.08506801,0.10968715
82,0.5795841,-0.28703532,0.2968731,0.5330093,0.39377066,0.27910924,-0.32343253,-0.24250852,0.45704028,0.42172316,0.347258,-0.36007822,-0.28269124,-0.03774073,-0.08506801,-0.33127567
83,0.5565764,-0.28838244,0.29813993,0.5319169,0.37742308,0.28187823,-0.32403567,-0.24250852,0.4357363,0.42271945,0.3484777,-0.3434011,-0.28269124,-0.03774073,-0.08506801,-0.33282197
84,0.5973019,-0.2063659,0.18683575,0.42730865,0.41634172,0.1751829,-0.2284504,-0.24250852,0.47762093,0.2882163,0.25273696,-0.3735562,-0.28269124,-0.03774073,-0.08506801,-0.22735126
85,0.77159816,-0.3889989,0.42453822,0.70037144,0.53610194,0.39234722,-0.43396294,-0.24250852,0.61912453,0.60139906,0.4829717,-0.4901367,-0.28269124,-0.03774073,-0.08506801,-0.4431552
86,0.9038036,-0.60787857,0.71120495,1.0161728,0.6208366,0.6578474,-0.68138266,-0.24250852,0.72001725,0.9720579,0.7540246,-0.5762118,-0.28269124,-0.03774073,-0.08506801,-0.70578396
87,0.86300826,-0.5823117,0.6777053,0.975699,0.5922056,0.6281374,-0.6521474,-0.24250852,0.6851247,0.92717,0.7211931,-0.54813087,-0.28269124,-0.03774073,-0.08506801,-0.67560613
88,0.8807172,-0.41710082,0.4575479,0.75411195,0.61810803,0.4182565,-0.46328652,-0.24250852,0.7131388,0.652273,0.5221305,-0.5651523,-0.28269124,-0.03774073,-0.08506801,-0.46945632
89,1.0585734,-0.38674077,0.4126379,0.73814774,0.75532675,0.36651313,-0.42662674,-0.24250852,0.87390584,0.60952985,0.49345228,-0.6906218,-0.28269124,-0.03774073,-0.08506801,-0.42144227
90,0.92446727,-0.28196704,0.27605245,0.57715636,0.6621247,0.24398006,-0.30783692,-0.24250852,0.76170355,0.42842397,0.3608145,-0.59928775,-0.28269124,-0.03774073,-0.08506801,-0.29825252
91,1.0659462,-0.17551313,0.13035256,0.45294636,0.7779534,0.09876761,-0.18425387,-0.24250852,0.89538854,0.25679412,0.23850769,-0.7011686,-0.28269124,-0.03774073,-0.08506801,-0.15724316
